45.7158 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.5130 	CRITICAL 	***Begin Experiment***
1.5130 	CRITICAL 	***Randomization: black_1st***
1.5130 	CRITICAL 	***Block 1 Instructions***
18.8294 	DATA 	Keypress: space
29.6539 	DATA 	Keypress: space
29.6540 	CRITICAL 	***Block 1 Experiment***
29.6540 	CRITICAL 	Stim: bf14_nc.jpg
30.3548 	DATA 	Keypress: e
30.3549 	CRITICAL 	Final keypress: e
30.6216 	CRITICAL 	Stim: wf6_nc.jpg
31.3722 	DATA 	Keypress: i
31.3723 	CRITICAL 	Final keypress: i
31.6387 	CRITICAL 	Stim: wm1_nc.jpg
32.3563 	DATA 	Keypress: i
32.3564 	CRITICAL 	Final keypress: i
32.6228 	CRITICAL 	Stim: bm56_nc.jpg
33.1902 	DATA 	Keypress: e
33.1903 	CRITICAL 	Final keypress: e
33.4567 	CRITICAL 	Stim: wf6_nc.jpg
34.0242 	DATA 	Keypress: i
34.0242 	CRITICAL 	Final keypress: i
34.2906 	CRITICAL 	Stim: bm23_nc.jpg
34.7747 	DATA 	Keypress: e
34.7748 	CRITICAL 	Final keypress: e
35.0411 	CRITICAL 	Stim: bm14_nc.jpg
35.5086 	DATA 	Keypress: e
35.5086 	CRITICAL 	Final keypress: e
35.7750 	CRITICAL 	Stim: bm23_nc.jpg
36.2258 	DATA 	Keypress: e
36.2259 	CRITICAL 	Final keypress: e
36.4922 	CRITICAL 	Stim: wf3_nc.jpg
36.9263 	DATA 	Keypress: i
36.9264 	CRITICAL 	Final keypress: i
37.1927 	CRITICAL 	Stim: wf2_nc.jpg
37.7769 	DATA 	Keypress: i
37.7769 	CRITICAL 	Final keypress: i
38.0433 	CRITICAL 	Stim: bm14_nc.jpg
38.5608 	DATA 	Keypress: e
38.5609 	CRITICAL 	Final keypress: e
38.8272 	CRITICAL 	Stim: wm4_nc.jpg
39.4114 	DATA 	Keypress: i
39.4115 	CRITICAL 	Final keypress: i
39.6778 	CRITICAL 	Stim: wm6_nc.jpg
40.2620 	DATA 	Keypress: i
40.2621 	CRITICAL 	Final keypress: i
40.5285 	CRITICAL 	Stim: bf56_nc.jpg
41.0126 	DATA 	Keypress: e
41.0127 	CRITICAL 	Final keypress: e
41.2790 	CRITICAL 	Stim: bf23_nc.jpg
41.7797 	DATA 	Keypress: e
41.7798 	CRITICAL 	Final keypress: e
42.0462 	CRITICAL 	Stim: bm56_nc.jpg
42.4804 	DATA 	Keypress: e
42.4805 	CRITICAL 	Final keypress: e
42.7467 	CRITICAL 	Stim: wf3_nc.jpg
43.2641 	DATA 	Keypress: i
43.2642 	CRITICAL 	Final keypress: i
43.5306 	CRITICAL 	Stim: wm6_nc.jpg
43.9814 	DATA 	Keypress: e
44.6818 	DATA 	Keypress: i
44.6819 	CRITICAL 	Final keypress: i
44.9483 	CRITICAL 	Stim: wm1_nc.jpg
45.6159 	DATA 	Keypress: i
45.6160 	CRITICAL 	Final keypress: i
45.8823 	CRITICAL 	Stim: bf14_nc.jpg
46.3664 	DATA 	Keypress: e
46.3665 	CRITICAL 	Final keypress: e
46.6329 	CRITICAL 	***Block 2 Instructions***
55.6059 	DATA 	Keypress: space
55.6060 	CRITICAL 	***Block 2 Experiment***
55.6060 	CRITICAL 	Stim: Terrible
57.1743 	DATA 	Keypress: i
57.1744 	CRITICAL 	Final keypress: i
57.4407 	CRITICAL 	Stim: Nasty
58.1250 	DATA 	Keypress: i
58.1251 	CRITICAL 	Final keypress: i
58.3913 	CRITICAL 	Stim: Glorious
59.2424 	DATA 	Keypress: e
59.2425 	CRITICAL 	Final keypress: e
59.5088 	CRITICAL 	Stim: Lovely
60.4433 	DATA 	Keypress: e
60.4434 	CRITICAL 	Final keypress: e
60.7096 	CRITICAL 	Stim: Horrible
61.2939 	DATA 	Keypress: i
61.2940 	CRITICAL 	Final keypress: i
61.5602 	CRITICAL 	Stim: Lovely
62.2113 	DATA 	Keypress: e
62.2114 	CRITICAL 	Final keypress: e
62.4776 	CRITICAL 	Stim: Humiliate
63.1619 	DATA 	Keypress: i
63.1620 	CRITICAL 	Final keypress: i
63.4282 	CRITICAL 	Stim: Painful
63.8624 	DATA 	Keypress: i
63.8625 	CRITICAL 	Final keypress: i
64.1288 	CRITICAL 	Stim: Humiliate
64.6463 	DATA 	Keypress: i
64.6464 	CRITICAL 	Final keypress: i
64.9127 	CRITICAL 	Stim: Wonderful
65.5136 	DATA 	Keypress: e
65.5137 	CRITICAL 	Final keypress: e
65.7799 	CRITICAL 	Stim: Agony
66.4810 	DATA 	Keypress: i
66.4811 	CRITICAL 	Final keypress: i
66.7473 	CRITICAL 	Stim: Tragic
67.3983 	DATA 	Keypress: i
67.3984 	CRITICAL 	Final keypress: i
67.6646 	CRITICAL 	Stim: Horrible
68.1322 	DATA 	Keypress: i
68.1323 	CRITICAL 	Final keypress: i
68.3985 	CRITICAL 	Stim: Superb
68.9828 	DATA 	Keypress: i
69.0328 	DATA 	Keypress: e
69.0329 	CRITICAL 	Final keypress: e
69.2992 	CRITICAL 	Stim: Joyful
70.1337 	DATA 	Keypress: e
70.1338 	CRITICAL 	Final keypress: e
70.3999 	CRITICAL 	Stim: Agony
71.1010 	DATA 	Keypress: i
71.1011 	CRITICAL 	Final keypress: i
71.3673 	CRITICAL 	Stim: Marvelous
72.0683 	DATA 	Keypress: e
72.0684 	CRITICAL 	Final keypress: e
72.3347 	CRITICAL 	Stim: Beautiful
72.8522 	DATA 	Keypress: e
72.8523 	CRITICAL 	Final keypress: e
73.1186 	CRITICAL 	Stim: Superb
73.6028 	DATA 	Keypress: e
73.6029 	CRITICAL 	Final keypress: e
73.8691 	CRITICAL 	Stim: Joyful
74.4034 	DATA 	Keypress: e
74.4035 	CRITICAL 	Final keypress: e
74.6697 	CRITICAL 	***Block 3 Instructions***
87.7809 	DATA 	Keypress: space
87.7957 	CRITICAL 	***Block 3 Experiment***
87.7957 	CRITICAL 	Stim: bf23_nc.jpg
88.9477 	DATA 	Keypress: e
88.9478 	CRITICAL 	Final keypress: e
89.2136 	CRITICAL 	Stim: Terrible
90.3655 	DATA 	Keypress: i
90.3656 	CRITICAL 	Final keypress: i
90.6312 	CRITICAL 	Stim: wm4_nc.jpg
91.4829 	DATA 	Keypress: i
91.4830 	CRITICAL 	Final keypress: i
91.7487 	CRITICAL 	Stim: Painful
92.4170 	DATA 	Keypress: i
92.4171 	CRITICAL 	Final keypress: i
92.6827 	CRITICAL 	Stim: bm56_nc.jpg
93.4510 	DATA 	Keypress: e
93.4511 	CRITICAL 	Final keypress: e
93.7167 	CRITICAL 	Stim: Humiliate
94.5352 	DATA 	Keypress: e
95.0856 	DATA 	Keypress: i
95.0857 	CRITICAL 	Final keypress: i
95.3513 	CRITICAL 	Stim: bf56_nc.jpg
96.2197 	DATA 	Keypress: e
96.2198 	CRITICAL 	Final keypress: e
96.4854 	CRITICAL 	Stim: Joyful
97.2038 	DATA 	Keypress: i
97.7375 	DATA 	Keypress: e
97.7376 	CRITICAL 	Final keypress: e
98.0032 	CRITICAL 	Stim: wm1_nc.jpg
98.7548 	DATA 	Keypress: i
98.7549 	CRITICAL 	Final keypress: i
99.0206 	CRITICAL 	Stim: bm23_nc.jpg
99.6388 	DATA 	Keypress: e
99.6389 	CRITICAL 	Final keypress: e
99.9045 	CRITICAL 	Stim: Beautiful
100.9732 	DATA 	Keypress: e
100.9733 	CRITICAL 	Final keypress: e
101.2388 	CRITICAL 	Stim: Nasty
101.8405 	DATA 	Keypress: i
101.8406 	CRITICAL 	Final keypress: i
102.1061 	CRITICAL 	Stim: wm6_nc.jpg
102.7744 	DATA 	Keypress: i
102.7745 	CRITICAL 	Final keypress: i
103.0401 	CRITICAL 	Stim: wf3_nc.jpg
103.6250 	DATA 	Keypress: i
103.6251 	CRITICAL 	Final keypress: i
103.8907 	CRITICAL 	Stim: Marvelous
104.5758 	DATA 	Keypress: i
104.9928 	DATA 	Keypress: e
104.9929 	CRITICAL 	Final keypress: e
105.2584 	CRITICAL 	Stim: bf14_nc.jpg
106.2269 	DATA 	Keypress: e
106.2270 	CRITICAL 	Final keypress: e
106.4926 	CRITICAL 	Stim: Tragic
107.2277 	DATA 	Keypress: i
107.2278 	CRITICAL 	Final keypress: i
107.4933 	CRITICAL 	Stim: wf6_nc.jpg
108.1282 	DATA 	Keypress: i
108.1283 	CRITICAL 	Final keypress: i
108.3940 	CRITICAL 	Stim: Wonderful
109.0290 	DATA 	Keypress: e
109.0291 	CRITICAL 	Final keypress: e
109.2946 	CRITICAL 	Stim: Lovely
110.0631 	DATA 	Keypress: e
110.0631 	CRITICAL 	Final keypress: e
110.3287 	CRITICAL 	***Block 4 Instructions***
116.7500 	DATA 	Keypress: space
116.7501 	CRITICAL 	***Block 4 Experiment***
116.7501 	CRITICAL 	Stim: Joyful
117.8520 	DATA 	Keypress: e
117.8521 	CRITICAL 	Final keypress: e
118.1177 	CRITICAL 	Stim: wm6_nc.jpg
118.7692 	DATA 	Keypress: i
118.7693 	CRITICAL 	Final keypress: i
119.0350 	CRITICAL 	Stim: bf14_nc.jpg
119.6199 	DATA 	Keypress: e
119.6200 	CRITICAL 	Final keypress: e
119.8856 	CRITICAL 	Stim: Superb
120.6373 	DATA 	Keypress: e
120.6374 	CRITICAL 	Final keypress: e
120.9030 	CRITICAL 	Stim: bm23_nc.jpg
121.4712 	DATA 	Keypress: e
121.4713 	CRITICAL 	Final keypress: e
121.7369 	CRITICAL 	Stim: wm4_nc.jpg
122.3718 	DATA 	Keypress: i
122.3719 	CRITICAL 	Final keypress: i
122.6376 	CRITICAL 	Stim: wf2_nc.jpg
123.1724 	DATA 	Keypress: i
123.1725 	CRITICAL 	Final keypress: i
123.4382 	CRITICAL 	Stim: Tragic
124.1065 	DATA 	Keypress: e
124.5902 	DATA 	Keypress: i
124.5903 	CRITICAL 	Final keypress: i
124.8558 	CRITICAL 	Stim: bm14_nc.jpg
125.4741 	DATA 	Keypress: e
125.4741 	CRITICAL 	Final keypress: e
125.7398 	CRITICAL 	Stim: wf2_nc.jpg
126.4414 	DATA 	Keypress: i
126.4415 	CRITICAL 	Final keypress: i
126.7072 	CRITICAL 	Stim: Nasty
127.4589 	DATA 	Keypress: e
127.9760 	DATA 	Keypress: i
127.9760 	CRITICAL 	Final keypress: i
128.2416 	CRITICAL 	Stim: wm4_nc.jpg
128.8932 	DATA 	Keypress: i
128.8933 	CRITICAL 	Final keypress: i
129.1590 	CRITICAL 	Stim: Glorious
130.1942 	DATA 	Keypress: i
130.5778 	DATA 	Keypress: e
130.5779 	CRITICAL 	Final keypress: e
130.8435 	CRITICAL 	Stim: bm56_nc.jpg
131.3783 	DATA 	Keypress: e
131.3784 	CRITICAL 	Final keypress: e
131.6441 	CRITICAL 	Stim: wm6_nc.jpg
132.2956 	DATA 	Keypress: i
132.2957 	CRITICAL 	Final keypress: i
132.5614 	CRITICAL 	Stim: Glorious
133.6801 	DATA 	Keypress: e
133.6802 	CRITICAL 	Final keypress: e
133.9457 	CRITICAL 	Stim: bm14_nc.jpg
134.4639 	DATA 	Keypress: e
134.4640 	CRITICAL 	Final keypress: e
134.7296 	CRITICAL 	Stim: Awful
135.5314 	DATA 	Keypress: i
135.5315 	CRITICAL 	Final keypress: i
135.7971 	CRITICAL 	Stim: Beautiful
136.4487 	DATA 	Keypress: e
136.4488 	CRITICAL 	Final keypress: e
136.7144 	CRITICAL 	Stim: Wonderful
137.5829 	DATA 	Keypress: e
137.5830 	CRITICAL 	Final keypress: e
137.8485 	CRITICAL 	Stim: Horrible
138.2667 	DATA 	Keypress: i
138.2668 	CRITICAL 	Final keypress: i
138.5324 	CRITICAL 	Stim: Terrible
139.2341 	DATA 	Keypress: i
139.2342 	CRITICAL 	Final keypress: i
139.4997 	CRITICAL 	Stim: bm56_nc.jpg
140.1346 	DATA 	Keypress: e
140.1347 	CRITICAL 	Final keypress: e
140.4004 	CRITICAL 	Stim: bf56_nc.jpg
140.9519 	DATA 	Keypress: e
140.9520 	CRITICAL 	Final keypress: e
141.2176 	CRITICAL 	Stim: Pleasure
142.0695 	DATA 	Keypress: i
142.6365 	DATA 	Keypress: e
142.6366 	CRITICAL 	Final keypress: e
142.9022 	CRITICAL 	Stim: Lovely
144.2544 	DATA 	Keypress: e
144.2545 	CRITICAL 	Final keypress: e
144.5200 	CRITICAL 	Stim: bm23_nc.jpg
145.0382 	DATA 	Keypress: e
145.0382 	CRITICAL 	Final keypress: e
145.3039 	CRITICAL 	Stim: wf6_nc.jpg
145.9555 	DATA 	Keypress: i
145.9556 	CRITICAL 	Final keypress: i
146.2213 	CRITICAL 	Stim: Nasty
147.0064 	DATA 	Keypress: e
147.4567 	DATA 	Keypress: i
147.4568 	CRITICAL 	Final keypress: i
147.7223 	CRITICAL 	Stim: bf56_nc.jpg
148.4073 	DATA 	Keypress: e
148.4073 	CRITICAL 	Final keypress: e
148.6730 	CRITICAL 	Stim: Humiliate
149.5417 	DATA 	Keypress: i
149.5418 	CRITICAL 	Final keypress: i
149.8072 	CRITICAL 	Stim: bf23_nc.jpg
151.0258 	DATA 	Keypress: e
151.0259 	CRITICAL 	Final keypress: e
151.2916 	CRITICAL 	Stim: Horrible
152.0100 	DATA 	Keypress: e
152.3769 	DATA 	Keypress: i
152.3770 	CRITICAL 	Final keypress: i
152.6426 	CRITICAL 	Stim: wf3_nc.jpg
153.3775 	DATA 	Keypress: i
153.3776 	CRITICAL 	Final keypress: i
153.6432 	CRITICAL 	Stim: Superb
154.6452 	DATA 	Keypress: i
154.9954 	DATA 	Keypress: e
154.9955 	CRITICAL 	Final keypress: e
155.2611 	CRITICAL 	Stim: wf3_nc.jpg
156.3630 	DATA 	Keypress: i
156.3631 	CRITICAL 	Final keypress: i
156.6287 	CRITICAL 	Stim: Joyful
157.4973 	DATA 	Keypress: e
157.4974 	CRITICAL 	Final keypress: e
157.7629 	CRITICAL 	Stim: wf6_nc.jpg
158.1309 	DATA 	Keypress: e
158.5145 	DATA 	Keypress: i
158.5146 	CRITICAL 	Final keypress: i
158.7803 	CRITICAL 	Stim: Painful
160.5828 	DATA 	Keypress: e
161.1165 	DATA 	Keypress: i
161.1166 	CRITICAL 	Final keypress: i
161.3822 	CRITICAL 	Stim: Terrible
162.5843 	DATA 	Keypress: i
162.5843 	CRITICAL 	Final keypress: i
162.8499 	CRITICAL 	***Block 5 Instructions***
171.4561 	DATA 	Keypress: space
171.4562 	CRITICAL 	***Block 5 Experiment***
171.4562 	CRITICAL 	Stim: bf23_nc.jpg
172.3571 	DATA 	Keypress: i
172.3572 	CRITICAL 	Final keypress: i
172.6237 	CRITICAL 	Stim: wm4_nc.jpg
173.2078 	DATA 	Keypress: e
173.2079 	CRITICAL 	Final keypress: e
173.4742 	CRITICAL 	Stim: wf2_nc.jpg
174.1084 	DATA 	Keypress: e
174.1085 	CRITICAL 	Final keypress: e
174.3749 	CRITICAL 	Stim: bm56_nc.jpg
174.9257 	DATA 	Keypress: i
174.9258 	CRITICAL 	Final keypress: i
175.1921 	CRITICAL 	Stim: wm6_nc.jpg
175.8096 	DATA 	Keypress: e
175.8097 	CRITICAL 	Final keypress: e
176.0761 	CRITICAL 	Stim: wf2_nc.jpg
176.7270 	DATA 	Keypress: e
176.7271 	CRITICAL 	Final keypress: e
176.9934 	CRITICAL 	Stim: bm56_nc.jpg
177.5276 	DATA 	Keypress: i
177.5277 	CRITICAL 	Final keypress: i
177.7940 	CRITICAL 	Stim: wm6_nc.jpg
178.3615 	DATA 	Keypress: e
178.3616 	CRITICAL 	Final keypress: e
178.6279 	CRITICAL 	Stim: bm23_nc.jpg
179.1621 	DATA 	Keypress: i
179.1622 	CRITICAL 	Final keypress: i
179.4285 	CRITICAL 	Stim: bf56_nc.jpg
179.9126 	DATA 	Keypress: i
179.9127 	CRITICAL 	Final keypress: i
180.1790 	CRITICAL 	Stim: wf6_nc.jpg
180.7966 	DATA 	Keypress: e
180.7967 	CRITICAL 	Final keypress: e
181.0630 	CRITICAL 	Stim: wm4_nc.jpg
181.6138 	DATA 	Keypress: e
181.6139 	CRITICAL 	Final keypress: e
181.8803 	CRITICAL 	Stim: wf6_nc.jpg
182.3644 	DATA 	Keypress: e
182.3645 	CRITICAL 	Final keypress: e
182.6308 	CRITICAL 	Stim: wm1_nc.jpg
183.1650 	DATA 	Keypress: e
183.1650 	CRITICAL 	Final keypress: e
183.4314 	CRITICAL 	Stim: bf14_nc.jpg
183.9322 	DATA 	Keypress: i
183.9323 	CRITICAL 	Final keypress: i
