11.2629 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1680, 1050]. Using actual size
1.4947 	CRITICAL 	***Begin Experiment***
1.4948 	CRITICAL 	***Randomization: white_1st***
1.4948 	CRITICAL 	***Block 1 Instructions***
34.8251 	DATA 	Keypress: space
47.4845 	DATA 	Keypress: space
47.4845 	CRITICAL 	***Block 1 Experiment***
47.4846 	CRITICAL 	Stim: bf23_nc.jpg
49.1028 	DATA 	Keypress: i
49.1028 	CRITICAL 	Final keypress: i
49.3695 	CRITICAL 	Stim: wm4_nc.jpg
49.9701 	DATA 	Keypress: e
49.9702 	CRITICAL 	Final keypress: e
50.2365 	CRITICAL 	Stim: wf2_nc.jpg
50.9375 	DATA 	Keypress: e
50.9376 	CRITICAL 	Final keypress: e
51.2040 	CRITICAL 	Stim: bm56_nc.jpg
51.9384 	DATA 	Keypress: i
51.9385 	CRITICAL 	Final keypress: i
52.2046 	CRITICAL 	Stim: wm6_nc.jpg
52.8889 	DATA 	Keypress: e
52.8890 	CRITICAL 	Final keypress: e
53.1553 	CRITICAL 	Stim: wf2_nc.jpg
53.9063 	DATA 	Keypress: e
53.9064 	CRITICAL 	Final keypress: e
54.1728 	CRITICAL 	Stim: bm56_nc.jpg
54.8570 	DATA 	Keypress: i
54.8571 	CRITICAL 	Final keypress: i
55.1235 	CRITICAL 	Stim: wm6_nc.jpg
55.8578 	DATA 	Keypress: e
55.8578 	CRITICAL 	Final keypress: e
56.1242 	CRITICAL 	Stim: bm23_nc.jpg
56.7417 	DATA 	Keypress: i
56.7418 	CRITICAL 	Final keypress: i
57.0082 	CRITICAL 	Stim: bf56_nc.jpg
57.6424 	DATA 	Keypress: i
57.6425 	CRITICAL 	Final keypress: i
57.9088 	CRITICAL 	Stim: wf6_nc.jpg
58.6098 	DATA 	Keypress: e
58.6099 	CRITICAL 	Final keypress: e
58.8762 	CRITICAL 	Stim: wm4_nc.jpg
59.4771 	DATA 	Keypress: e
59.4772 	CRITICAL 	Final keypress: e
59.7435 	CRITICAL 	Stim: wf6_nc.jpg
60.3277 	DATA 	Keypress: e
60.3278 	CRITICAL 	Final keypress: e
60.5942 	CRITICAL 	Stim: wm1_nc.jpg
61.2617 	DATA 	Keypress: e
61.2618 	CRITICAL 	Final keypress: e
61.5282 	CRITICAL 	Stim: bf14_nc.jpg
62.1457 	DATA 	Keypress: i
62.1458 	CRITICAL 	Final keypress: i
62.4122 	CRITICAL 	Stim: bm14_nc.jpg
62.9296 	DATA 	Keypress: i
62.9297 	CRITICAL 	Final keypress: i
63.1961 	CRITICAL 	Stim: bm23_nc.jpg
63.7302 	DATA 	Keypress: i
63.7303 	CRITICAL 	Final keypress: i
63.9967 	CRITICAL 	Stim: bf23_nc.jpg
64.5308 	DATA 	Keypress: i
64.5309 	CRITICAL 	Final keypress: i
64.7973 	CRITICAL 	Stim: wm1_nc.jpg
65.4815 	DATA 	Keypress: e
65.4816 	CRITICAL 	Final keypress: e
65.7480 	CRITICAL 	Stim: bm14_nc.jpg
66.3155 	DATA 	Keypress: i
66.3156 	CRITICAL 	Final keypress: i
66.5820 	CRITICAL 	***Block 2 Instructions***
74.3710 	DATA 	Keypress: space
74.3711 	CRITICAL 	***Block 2 Experiment***
74.3711 	CRITICAL 	Stim: Terrible
